"name","category","prices/lowestPrice","prices/prices/0/availability","prices/prices/0/buyLink","prices/prices/0/currency","prices/prices/0/merchant","prices/prices/0/price","prices/prices/1/availability","prices/prices/1/buyLink","prices/prices/1/currency","prices/prices/1/merchant","prices/prices/1/price","prices/prices/2/availability","prices/prices/2/buyLink","prices/prices/2/currency","prices/prices/2/merchant","prices/prices/2/price","ratings/averageRating","ratings/numberOfRatings","ratings/percentages/1*","ratings/percentages/2*","ratings/percentages/3*","ratings/percentages/4*","ratings/percentages/5*","specifications/CAS Latency","specifications/Color","specifications/ECC / Registered","specifications/First Word Latency","specifications/Form Factor","specifications/Heat Spreader","specifications/Manufacturer","specifications/Model","specifications/Modules","specifications/Part #","specifications/Part #/0","specifications/Part #/1","specifications/Price / GB","specifications/Speed","specifications/Timing","specifications/Voltage","reviews","url"
"Kingston FURY Beast RGB 64 GB (2 x 32 GB) DDR5-6400 CL32 Memory","Memory","694.9","In stock","https://click.linksynergy.com/deeplink?id=8BacdVP0GFs&mid=44583&murl=https%3A%2F%2Fwww.newegg.com%2Fkingston-technology-corp-fury-beast-64gb-ddr5-6400-cas-latency-cl32-memory-white%2Fp%2FN82E16820242875%3Fitem%3DN82E16820242875","$","newegg","694.9","In stock","https://www.amazon.com/dp/B0CYM5PQ2D?tag=pcpapi-20&linkCode=ogi&th=1&psc=1","$","amazon","728.8",,,,,,"5","1","0%","0%","0%","0%","100%","32","White","Non-ECC / Unbuffered","10 ns","288-pin DIMM (DDR5)","Yes","Kingston",,"2 x 32GB","KF564C32BWEAK2-64",,,"$10.859","DDR5-6400",,"1.4 V",,"https://pcpartpicker.com/product/NNRwrH/kingston-fury-beast-rgb-64-gb-2-x-32-gb-ddr5-6400-cl32-memory-kf564c32bweak2-64"
"Kingston KTD-PE421/8G 8 GB (1 x 8 GB) Registered DDR4-2133 CL15 Memory","Memory","23.4","In stock","https://www.amazon.com/dp/B00OPTUPWK?tag=pcpapi-20&linkCode=ogi&th=1&psc=1","$","amazon","23.4",,,,,,,,,,,,,,,,,,"15","Green","ECC / Registered","14.065 ns","288-pin DIMM (DDR4)","No","Kingston",,"1 x 8GB","KTD-PE421/8G",,,"$2.931","DDR4-2133",,"1.2 V",,"https://pcpartpicker.com/product/qxrcCJ/kingston-memory-ktdpe4218g"
"Kingston Fury Renegade RGB 96 GB (2 x 48 GB) DDR5-6000 CL32 Memory","Memory","639.9","Out of stock","https://click.linksynergy.com/deeplink?id=8BacdVP0GFs&mid=44583&murl=https%3A%2F%2Fwww.newegg.com%2Fkingston-technology-corp-fury-renegade-96gb-ddr5-6000-cas-latency-cl32-memory-silver-black%2Fp%2FN82E16820242825%3Fitem%3DN82E16820242825","$","newegg","639.9",,,,,,,,,,,,,,,,,,"32","Silver / Black","Non-ECC / Unbuffered","10.667 ns","288-pin DIMM (DDR5)","Yes","Kingston",,"2 x 48GB","KF560C32RSAK2-96",,,"$6.667","DDR5-6000",,"1.35 V",,"https://pcpartpicker.com/product/FmTZxr/kingston-fury-renegade-rgb-96-gb-2-x-48-gb-ddr5-6000-cl32-memory-kf560c32rsak2-96"
"Kingston FURY Beast RGB 64 GB (2 x 32 GB) DDR5-5600 CL36 Memory","Memory","586.7","In stock","https://www.amazon.com/dp/B0BRTHRY3F?tag=pcpapi-20&linkCode=ogi&th=1&psc=1","$","amazon","586.7","In stock","https://click.linksynergy.com/deeplink?id=8BacdVP0GFs&mid=44583&murl=https%3A%2F%2Fwww.newegg.com%2Fkingston-technology-corp-fury-beast-64gb-ddr5-5600-cas-latency-cl36-desktop-memory-black%2Fp%2FN82E16820242769%3Fitem%3DN82E16820242769","$","newegg","629.9",,,,,,,,,,,,,"36","Black","Non-ECC / Unbuffered","12.857 ns","288-pin DIMM (DDR5)","Yes","Kingston",,"2 x 32GB","KF556C36BBEAK2-64",,,"$9.169","DDR5-5600",,"1.25 V",,"https://pcpartpicker.com/product/Chgrxr/kingston-fury-beast-rgb-64-gb-2-x-32-gb-ddr5-5600-cl36-memory-kf556c36bbeak2-64"
"Kingston FURY Beast RGB 16 GB (2 x 8 GB) DDR4-3200 CL16 Memory","Memory",,,,,,,,,,,,,,,,,"4.9","7","0%","0%","0%","14%","86%","16","Black","Non-ECC / Unbuffered","10 ns","288-pin DIMM (DDR4)","Yes","Kingston",,"2 x 8GB",,"KF432C16BBAK216","KF432C16BBAK2/16",,"DDR4-3200",,"1.35 V",,"https://pcpartpicker.com/product/D62WGX/kingston-fury-beast-rgb-16-gb-2-x-8-gb-ddr4-3200-cl16-memory-kf432c16bbak216"
"Kingston HyperX Fury 16 GB (1 x 16 GB) DDR4-2666 CL16 Memory","Memory",,,,,,,,,,,,,,,,,"4.5","2","0%","0%","0%","50%","50%","16","Black","Non-ECC / Unbuffered","12.003 ns","288-pin DIMM (DDR4)","Yes","Kingston",,"1 x 16GB","HX426C16FB3/16",,,,"DDR4-2666",,"1.2 V",,"https://pcpartpicker.com/product/3Pwkcf/kingston-hyperx-fury-16-gb-1-x-16-gb-ddr4-2666-cl16-memory-hx426c16fb316"
"Kingston ValueRAM 32 GB (1 x 32 GB) DDR4-2666 CL19 Memory","Memory",,,,,,,,,,,,,,,,,"4","1","0%","0%","0%","100%","0%","19","Green","Non-ECC / Unbuffered","14.254 ns","288-pin DIMM (DDR4)","No","Kingston",,"1 x 32GB","KVR26N19D832",,,,"DDR4-2666",,"1.2 V",,"https://pcpartpicker.com/product/vnH7YJ/kingston-valueram-32-gb-1-x-32-gb-ddr4-2666-cl19-memory-kvr26n19d832"
"Kingston FURY Beast 32 GB (2 x 16 GB) DDR5-4800 CL38 Memory","Memory",,,,,,,,,,,,,,,,,"4.6","5","0%","0%","0%","40%","60%","38","Black / Silver","Non-ECC / Unbuffered","15.833 ns","288-pin DIMM (DDR5)","Yes","Kingston",,"2 x 16GB","KF548C38BBK2-32",,,,"DDR5-4800",,"1.1 V",,"https://pcpartpicker.com/product/HPYmP6/kingston-fury-beast-32-gb-2-x-16-gb-ddr5-4800-cl38-memory-kf548c38bbk2-32"
"Kingston ValueRAM 8 GB (1 x 8 GB) DDR4-2400 CL17 Memory","Memory","46.6","In stock","https://www.amazon.com/dp/B01GCWQGIY?tag=pcpapi-20&linkCode=ogi&th=1&psc=1","$","amazon","46.6",,,,,,,,,,,"4.3","3","0%","0%","0%","67%","33%","17","Green","Non-ECC / Unbuffered","14.167 ns","288-pin DIMM (DDR4)","No","Kingston",,"1 x 8GB","KVR24N17S8/8",,,"$5.831","DDR4-2400",,"1.2 V",,"https://pcpartpicker.com/product/zjWfrH/kingston-valueram-8gb-1-x-8gb-ddr4-2400-memory-kvr24n17s88"
"Kingston FURY Renegade 32 GB (2 x 16 GB) DDR5-7200 CL38 Memory","Memory","279.9","In stock","https://click.linksynergy.com/deeplink?id=8BacdVP0GFs&mid=44583&murl=https%3A%2F%2Fwww.newegg.com%2Fkingston-technology-corp-fury-renegade-32gb-ddr5-7200-cas-latency-cl38-memory-silver-white%2Fp%2F0RM-001W-00716%3Fitem%3D0RM-001W-00716","$","newegg","279.9",,,,,,,,,,,"5","1","0%","0%","0%","0%","100%","38","White / Silver","Non-ECC / Unbuffered","10.556 ns","288-pin DIMM (DDR5)","Yes","Kingston",,"2 x 16GB","KF572C38RWAK2-32",,,"$8.750","DDR5-7200",,"1.45 V",,"https://pcpartpicker.com/product/NvjRsY/kingston-fury-renegade-32-gb-2-x-16-gb-ddr5-7200-cl38-memory-kf572c38rwak2-32"
